hash,nanoseconds_total,nanoseconds_per_key,load_factor,reducer,dataset
city128_city,3100132000,15.5007,0.75,modulo,books_200M_uint32.ds
city128_city,1868373000,9.34187,0.75,fast_modulo,books_200M_uint32.ds
city128_city,1939770000,9.69885,0.75,branchless_fast_modulo,books_200M_uint32.ds
meow64_low,4043022000,20.2151,0.75,do_nothing,books_200M_uint32.ds
meow64_low,4096598000,20.483,0.75,fastrange32,books_200M_uint32.ds
meow64_low,4279829000,21.3991,0.75,fastrange64,books_200M_uint32.ds
meow64_low,5986904000,29.9345,0.75,modulo,books_200M_uint32.ds
meow64_low,4408986000,22.0449,0.75,fast_modulo,books_200M_uint32.ds
meow64_low,4551769000,22.7588,0.75,branchless_fast_modulo,books_200M_uint32.ds
meow64_upp,4104049000,20.5202,0.75,do_nothing,books_200M_uint32.ds
meow64_upp,4169632000,20.8482,0.75,fastrange32,books_200M_uint32.ds
meow64_upp,4365925000,21.8296,0.75,fastrange64,books_200M_uint32.ds
meow64_upp,5993836000,29.9692,0.75,modulo,books_200M_uint32.ds
meow64_upp,4451469000,22.2573,0.75,fast_modulo,books_200M_uint32.ds
meow64_upp,4635356000,23.1768,0.75,branchless_fast_modulo,books_200M_uint32.ds
mult64,349617000,1.74809,0.5,do_nothing,books_200M_uint32.ds
mult64,184216000,0.92108,0.5,fastrange32,books_200M_uint32.ds
mult64,351074000,1.75537,0.5,fastrange64,books_200M_uint32.ds
mult64,1626640000,8.1332,0.5,modulo,books_200M_uint32.ds
mult64,304747000,1.52374,0.5,fast_modulo,books_200M_uint32.ds
mult64,304030000,1.52015,0.5,branchless_fast_modulo,books_200M_uint32.ds
fibo64,345627000,1.72814,0.5,do_nothing,books_200M_uint32.ds
fibo64,178196000,0.89098,0.5,fastrange32,books_200M_uint32.ds
fibo64,353874000,1.76937,0.5,fastrange64,books_200M_uint32.ds
fibo64,1622876000,8.11438,0.5,modulo,books_200M_uint32.ds
fibo64,296382000,1.48191,0.5,fast_modulo,books_200M_uint32.ds
fibo64,304234000,1.52117,0.5,branchless_fast_modulo,books_200M_uint32.ds
fibo_prime64,344890000,1.72445,0.5,do_nothing,books_200M_uint32.ds
fibo_prime64,187022000,0.93511,0.5,fastrange32,books_200M_uint32.ds
fibo_prime64,348064000,1.74032,0.5,fastrange64,books_200M_uint32.ds
fibo_prime64,1616101000,8.08051,0.5,modulo,books_200M_uint32.ds
fibo_prime64,271647000,1.35824,0.5,fast_modulo,books_200M_uint32.ds
fibo_prime64,285766000,1.42883,0.5,branchless_fast_modulo,books_200M_uint32.ds
multadd64,561663000,2.80832,0.5,do_nothing,books_200M_uint32.ds
multadd64,345836000,1.72918,0.5,fastrange32,books_200M_uint32.ds
multadd64,573341000,2.86671,0.5,fastrange64,books_200M_uint32.ds
multadd64,1843926000,9.21963,0.5,modulo,books_200M_uint32.ds
