dataset,numelements,load_factor,hash,reducer,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,nanoseconds_total,nanoseconds_per_key
books_200M_uint32,199999999,0.750000,murmur3_128_xor,fastrange64,0,10,1.000045,125966658,0.472375,46228691,0.173358,105528683,0.527643,11304146357,56.520732
books_200M_uint32,199999999,1.000000,murmur3_128_city,branchless_fast_modulo,0,11,1.000035,73577996,0.367890,52847770,0.264239,126425766,0.632129,14188093837,70.940470
books_200M_uint32,199999999,0.750000,murmur3_128_xor,branchless_fast_modulo,0,11,1.000011,125965742,0.472372,46228634,0.173357,105527710,0.527639,12086970882,60.434855
books_200M_uint32,199999999,1.000000,murmur3_fin64,fastrange32,0,12,1.000292,73597348,0.367987,52846838,0.264234,126444186,0.632221,6979372104,34.896861
books_200M_uint32,199999999,1.000000,murmur3_fin64,fastrange64,0,11,0.999921,73568767,0.367844,52844263,0.264221,126413030,0.632065,6956160206,34.780801
books_200M_uint32,199999999,0.750000,murmur3_128_city,fastrange32,0,10,1.000171,125981981,0.472432,46234032,0.173378,105549347,0.527747,14935633644,74.678169
books_200M_uint32,199999999,1.000000,murmur3_fin64,branchless_fast_modulo,0,10,0.999883,73562378,0.367812,52842459,0.264212,126404837,0.632024,7710519600,38.552598
books_200M_uint32,199999999,0.750000,murmur3_128_city,fastrange64,0,10,0.999982,125960379,0.472351,46224130,0.173340,105517843,0.527589,14388932874,71.944665
books_200M_uint32,199999999,1.000000,xxh64,fastrange32,0,12,1.000333,73602103,0.368011,52848492,0.264242,126450595,0.632253,7618678929,38.093395
books_200M_uint32,199999999,1.000000,xxh64,fastrange64,0,11,1.000015,73575067,0.367875,52847708,0.264239,126422775,0.632114,7791078995,38.955395
books_200M_uint32,199999999,0.750000,murmur3_128_city,branchless_fast_modulo,0,10,0.999990,125958502,0.472344,46220557,0.173327,105512393,0.527562,16625250972,83.126255
books_200M_uint32,199999999,1.000000,xxh64,branchless_fast_modulo,0,10,0.999947,73571925,0.367860,52849578,0.264248,126421503,0.632108,8599287705,42.996439
books_200M_uint32,199999999,0.750000,murmur3_fin64,fastrange32,0,9,1.000167,125980469,0.472427,46230742,0.173365,105544545,0.527723,8246368694,41.231844
books_200M_uint32,199999999,1.000000,xxh3,fastrange32,0,11,1.000311,73596396,0.367982,52843728,0.264219,126440124,0.632201,8407328947,42.036645
books_200M_uint32,199999999,0.750000,murmur3_fin64,fastrange64,0,11,0.999934,125961877,0.472357,46231589,0.173368,105526800,0.527634,8264680062,41.323401
books_200M_uint32,199999999,1.000000,xxh3,fastrange64,0,11,0.999955,73573370,0.367867,52849945,0.264250,126423315,0.632117,8386711862,41.933560
