dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
books_200M_uint32,199999999,0.250000,pgm_hash_eps64_epsrec1,min_max_cutoff,0.010000,0,2154,0.938306,608675985,0.760845,7450617,0.009313,16126605,0.080633,279900212,1.399501,107684819,0.538424,11629948,0.058150,21918030639,109.590154,22317245618,111.586229
books_200M_uint32,199999999,0.250000,pgm_hash_eps64_epsrec1,min_max_cutoff,0.100000,0,207,0.922916,608235490,0.760294,7088096,0.008860,15323589,0.076618,1622622949,8.113115,1261048469,6.305242,89385280,0.446926,30747130996,153.735656,33720187694,168.600939
books_200M_uint32,199999999,0.250000,pgm_hash_eps64_epsrec1,min_max_cutoff,1.000000,0,38,0.923214,608265145,0.760331,7079150,0.008849,15344298,0.076721,680811235,3.404056,15006372756,75.031864,996503859,4.982519,37207112401,186.035563,53890800251,269.454003
books_200M_uint32,199999999,0.250000,pgm_hash_eps64_epsrec4,min_max_cutoff,0.001000,0,6915,1.163439,627378690,0.784223,20371522,0.025464,47750215,0.238751,14576822,0.072884,8880632,0.044403,1148042,0.005740,17206708094,86.033541,17231313590,86.156568
books_200M_uint32,199999999,0.250000,pgm_hash_eps64_epsrec4,min_max_cutoff,0.010000,0,2154,0.938306,608675985,0.760845,7450617,0.009313,16126605,0.080633,205913676,1.029568,111936350,0.559682,9828257,0.049141,23700374329,118.501872,24028052612,120.140264
books_200M_uint32,199999999,0.250000,pgm_hash_eps64_epsrec4,min_max_cutoff,0.100000,0,207,0.922916,608235490,0.760294,7088096,0.008860,15323589,0.076618,1851402630,9.257013,1314202166,6.571011,91832553,0.459163,21049059987,105.245300,24306497336,121.532487
books_200M_uint32,199999999,0.250000,pgm_hash_eps64_epsrec4,min_max_cutoff,1.000000,0,38,0.923214,608265145,0.760331,7079150,0.008849,15344298,0.076721,623394680,3.116973,15808247296,79.041237,1056683598,5.283418,32123773359,160.618868,49612098933,248.060496
books_200M_uint32,199999999,0.250000,pgm_hash_eps8_epsrec0,min_max_cutoff,0.001000,0,2744,0.948225,608992866,0.761241,7763092,0.009704,16755961,0.083780,16613428,0.083067,9036971,0.045185,1481065,0.007405,31636140560,158.180704,31663272024,158.316361
books_200M_uint32,199999999,0.250000,pgm_hash_eps8_epsrec0,min_max_cutoff,0.010000,0,262,0.927944,609052033,0.761315,7840064,0.009800,16892100,0.084461,169320086,0.846600,109905960,0.549530,12913913,0.064570,25328968570,126.644843,25621108529,128.105543
books_200M_uint32,199999999,0.250000,pgm_hash_eps8_epsrec0,min_max_cutoff,0.100000,0,55,0.928061,609075593,0.761344,7820497,0.009776,16896093,0.084480,2620021259,13.100106,1324881893,6.624409,120006070,0.600030,40926135888,204.630680,44991045110,224.955227
books_200M_uint32,199999999,0.250000,pgm_hash_eps8_epsrec0,min_max_cutoff,1.000000,0,17,0.911642,606639092,0.758299,5662381,0.007078,12301476,0.061507,792082975,3.960415,17476804016,87.384021,1363215645,6.816078,87642175522,438.210880,107274278158,536.371393
books_200M_uint32,199999999,0.250000,pgm_hash_eps8_epsrec1,min_max_cutoff,0.001000,0,2744,0.948225,608992866,0.761241,7763092,0.009704,16755961,0.083780,17733840,0.088669,9056812,0.045284,2394344,0.011972,34152961126,170.764806,34182146122,170.910731
books_200M_uint32,199999999,0.250000,pgm_hash_eps8_epsrec1,min_max_cutoff,0.010000,0,262,0.927944,609052033,0.761315,7840064,0.009800,16892100,0.084461,151186256,0.755931,108490990,0.542455,21472232,0.107361,24649406138,123.247031,24930555616,124.652779
books_200M_uint32,199999999,0.250000,pgm_hash_eps8_epsrec1,min_max_cutoff,0.100000,0,55,0.928061,609075593,0.761344,7820497,0.009776,16896093,0.084480,1863574060,9.317870,1385581429,6.927907,143939565,0.719698,34828483534,174.142419,38221578588,191.107894
