dataset,numelements,load_factor,model,reducer,sample_size,min,max,std_dev,empty_slots,empty_slots_percent,colliding_slots,colliding_slots_percent,total_colliding_keys,total_colliding_keys_percent,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key
books_200M_uint32,199999999,0.500000,pgm_hash_eps128,min_max_cutoff,1.000000,0,75,0.960137,232568265,0.581421,26523921,0.066310,59092187,0.295461,5329884271,26.649421,23098089969,115.490450,6043889629,30.219448,42870122293,214.350613,77341986162,386.709933
books_200M_uint32,199999999,0.250000,pgm_hash_eps16,min_max_cutoff,0.100000,0,89,0.925282,608629971,0.760787,7436782,0.009296,16066756,0.080334,7535951368,37.679757,1631865904,8.159330,527633043,2.638165,55229501223,276.147507,64924951538,324.624759
books_200M_uint32,199999999,0.500000,pgm_hash_eps16,min_max_cutoff,1.000000,0,33,0.946190,230955508,0.577389,25571515,0.063929,56527024,0.282635,4364460730,21.822304,26033904861,130.169525,7821735570,39.108678,48047732066,240.238662,86267833227,431.339168
books_200M_uint32,199999999,0.250000,pgm_eps128,min_max_cutoff,1.000000,0,253,1.603793,674401969,0.843002,48213283,0.060267,122615255,0.613076,8591553611,42.957768,19111867292,95.559337,3999092824,19.995464,31281253532,156.406268,62983767259,314.918838
books_200M_uint32,199999999,0.250000,pgm_eps16,min_max_cutoff,1.000000,0,34,1.446266,673746106,0.842183,48025737,0.060032,121771846,0.608859,4512488503,22.562443,18262364587,91.311823,5471324099,27.356621,44849975407,224.249878,73096152596,365.480765
books_200M_uint32,199999999,0.250000,pgm_hash_eps128,min_max_cutoff,1.000000,0,75,0.923000,608246820,0.760309,7081598,0.008852,15328421,0.076642,3892130043,19.460650,18337749928,91.688750,3917254982,19.586275,28700615759,143.503080,54847750712,274.238755
books_200M_uint32,199999999,0.250000,pgm_hash_eps16,min_max_cutoff,1.000000,0,33,0.919165,607639523,0.759549,6478073,0.008098,14117599,0.070588,1881311173,9.406556,18304652102,91.523261,5443187914,27.215940,40917776280,204.588882,66546927469,332.734639
books_200M_uint64,200000000,1.000000,pgm_eps128,min_max_cutoff,0.001000,0,78141,32.606235,199800250,0.999001,199750,0.000999,200000000,1.000000,50123218,0.250616,11024363,0.055122,4098334,0.020492,16417956132,82.089781,16483202047,82.416010
books_200M_uint64,200000000,0.750000,pgm_eps128,min_max_cutoff,0.001000,0,78141,32.610069,266466916,0.999251,199750,0.000749,200000000,1.000000,69246902,0.346235,13349784,0.066749,4634852,0.023174,17268139312,86.340697,17355370850,86.776854
books_200M_uint64,200000000,1.000000,pgm_eps16,min_max_cutoff,0.001000,0,35735,35.238918,199801308,0.999007,198692,0.000993,200000000,1.000000,22759471,0.113797,12584738,0.062924,6619812,0.033099,19525919559,97.629598,19567883580,97.839418
books_200M_uint64,200000000,0.750000,pgm_eps16,min_max_cutoff,0.001000,0,35735,35.242465,266467974,0.999255,198692,0.000745,200000000,1.000000,23603885,0.118019,12761789,0.063809,7745963,0.038730,20803415231,104.017076,20847526868,104.237634
books_200M_uint64,200000000,1.000000,pgm_hash_eps128,min_max_cutoff,0.001000,0,30892,2.924378,107762664,0.538813,36710795,0.183554,144473459,0.722367,22898186,0.114491,12302170,0.061511,4658502,0.023293,14756429519,73.782148,14796288377,73.981442
books_200M_uint64,200000000,0.750000,pgm_hash_eps128,min_max_cutoff,0.001000,0,30892,2.921587,168772276,0.632896,35939332,0.134772,138044942,0.690225,27750702,0.138754,14824852,0.074124,7429245,0.037146,15896126760,79.480634,15946131559,79.730658
books_200M_uint64,200000000,1.000000,pgm_hash_eps16,min_max_cutoff,0.001000,0,12043,1.979844,97553386,0.487767,36661627,0.183308,134215013,0.671075,32824535,0.164123,14965333,0.074827,7312148,0.036561,20305895268,101.529476,20360997284,101.804986
books_200M_uint64,200000000,0.750000,pgm_hash_eps16,min_max_cutoff,0.001000,0,12043,1.913879,152482384,0.571809,34736718,0.130263,120552436,0.602762,27290539,0.136453,13392414,0.066962,6390591,0.031953,20871544939,104.357725,20918618483,104.593092
