dataset,compiler,machine,slots_per_bucket,kicking_strategy,reducer,hash,load_factor,payload,build_ns,avg_probe_ns,median_probe_ns,primary_key_ratio,num_runs,sample_size
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,fast_modulo-fast_modulo,murmur_finalizer64,0.950000,16,224.717974,237.321178,237.320472,0.835353,5,
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,fast_modulo-fast_modulo,aqua0_64,0.950000,16,240.309583,237.416833,237.459540,0.835324,5,
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,fast_modulo-fast_modulo,xxh3,0.950000,16,227.629935,242.339166,242.316751,0.835301,5,
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,clamp-fast_modulo,radix_spline_err32_rbits18,0.980000,16,183.390614,231.115100,231.084297,0.991315,7,0.010000
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,fast_modulo-fast_modulo,aqua0_64,0.980000,16,303.161502,240.635865,240.636555,0.811189,5,
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,fast_modulo-fast_modulo,murmur_finalizer64,0.980000,16,305.231689,241.906516,241.926426,0.811135,5,
seq_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,biased_kicking_10,fast_modulo-fast_modulo,xxh3,0.980000,16,307.515790,243.161274,243.154088,0.811191,5,
wiki_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,balanced_kicking,fast_modulo-fast_modulo,aqua0_64,0.950000,16,188.597414,231.965222,231.949505,0.650255,5,
wiki_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,balanced_kicking,fast_modulo-fast_modulo,murmur_finalizer64,0.950000,16,190.864250,236.540799,236.520101,0.650330,21,
wiki_200M_uint64,g++ 10.2.0,mcgraw (Intel(R) Xeon(R) Gold 6230 CPU @ 2.10GHz),8,balanced_kicking,fast_modulo-fast_modulo,xxh3,0.950000,16,189.444624,237.132814,237.097249,0.650321,5,
