dataset,numelements,model,reducer,sample_size,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
osm_cellids_200M_uint64,200000000,pgm_hash_eps4_epsrec4,min_max_cutoff,0.100000,1567546020,7.837730,1621723397,8.108617,141731187,0.708656,23054994809,115.274974,26385995413,131.929977,10
books_200M_uint32,199999999,pgm_hash_eps16_epsrec4,min_max_cutoff,1.000000,1684390698,8.421954,17975340963,89.876705,709554228,3.547771,16709906192,83.549531,37079192081,185.395961,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,1.000000,1090282931,5.451415,18402634238,92.013171,353133363,1.765667,11875839055,59.379195,31721889587,158.609448,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec1,min_max_cutoff,0.100000,1567546020,7.837730,1621723397,8.108617,96477287,0.482386,16605167775,83.025839,19890914479,99.454572,10
gapped_1percent_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,1.000000,1090282931,5.451415,18402634238,92.013171,420425691,2.102128,17372526621,86.862633,37285869481,186.429347,10
books_200M_uint32,199999999,pgm_hash_eps4_epsrec4,min_max_cutoff,1.000000,1684390698,8.421954,17975340963,89.876705,994551570,4.972758,26996424414,134.982123,47650707645,238.253539,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps64_epsrec1,min_max_cutoff,0.100000,1567546020,7.837730,1621723397,8.108617,94293752,0.471469,17848352618,89.241763,21131915787,105.659579,10
books_200M_uint32,199999999,pgm_hash_eps256_epsrec1,min_max_cutoff,1.000000,1684390698,8.421954,17975340963,89.876705,412026595,2.060133,11976955293,59.884777,32048713549,160.243569,10
books_200M_uint32,199999999,pgm_hash_eps64_epsrec1,min_max_cutoff,1.000000,1684390698,8.421954,17975340963,89.876705,451439906,2.257200,13752189716,68.760949,33863361283,169.316807,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec1,min_max_cutoff,0.100000,1567546020,7.837730,1621723397,8.108617,108038246,0.540191,23071346727,115.356734,26368654390,131.843272,10
books_200M_uint32,199999999,pgm_hash_eps16_epsrec1,min_max_cutoff,1.000000,1684390698,8.421954,17975340963,89.876705,620213099,3.101066,20344173058,101.720866,40624117818,203.120590,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps4_epsrec1,min_max_cutoff,0.100000,1567546020,7.837730,1621723397,8.108617,134055091,0.670275,31156475665,155.782378,34479800173,172.399001,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,0.100000,1567546020,7.837730,1621723397,8.108617,94100202,0.470501,14177039305,70.885197,17460408924,87.302045,10
books_200M_uint32,199999999,pgm_hash_eps4_epsrec1,min_max_cutoff,1.000000,1684390698,8.421954,17975340963,89.876705,897576205,4.487881,30567479851,152.837400,51124787717,255.623940,10
books_200M_uint32,199999999,pgm_hash_eps256_epsrec0,min_max_cutoff,1.000000,1684390698,8.421954,17975340963,89.876705,454239453,2.271197,12374791427,61.873957,32488762541,162.443814,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps64_epsrec0,min_max_cutoff,0.100000,1567546020,7.837730,1621723397,8.108617,93730040,0.468650,17438918991,87.194595,20721918448,103.609592,10
books_200M_uint32,199999999,pgm_hash_eps64_epsrec0,min_max_cutoff,1.000000,1684390698,8.421954,17975340963,89.876705,455639091,2.278195,18746055772,93.730279,38861426524,194.307134,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,0.100000,1567546020,7.837730,1621723397,8.108617,101918835,0.509594,23212389278,116.061946,26503577530,132.517888,10
books_200M_uint32,199999999,pgm_hash_eps16_epsrec0,min_max_cutoff,1.000000,1684390698,8.421954,17975340963,89.876705,577620965,2.888105,33908428842,169.542145,54145781468,270.728909,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps4_epsrec0,min_max_cutoff,0.100000,1567546020,7.837730,1621723397,8.108617,121191133,0.605956,35073997713,175.369989,38384458263,191.922291,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps256_epsrec4,min_max_cutoff,1.000000,1054001723,5.270009,18122190786,90.610954,761844324,3.809222,18349273732,91.746369,38287310565,191.436553,10
osm_cellids_200M_uint64,200000000,pgm_hash_eps64_epsrec4,min_max_cutoff,1.000000,1054001723,5.270009,18122190786,90.610954,765133498,3.825667,22515900354,112.579502,42457226361,212.286132,10
