dataset,numelements,model,reducer,sample_size,sample_nanoseconds_total,sample_nanoseconds_per_key,prepare_nanoseconds_total,prepare_nanoseconds_per_key,build_nanoseconds_total,build_nanoseconds_per_key,hashing_nanoseconds_total,hashing_nanoseconds_per_key,total_nanoseconds,total_nanoseconds_per_key,benchmark_repeat_cnt
books_200M_uint64,200000000,pgm_hash_eps128_epsrec4,min_max_cutoff,1.000000,564123535,2.820618,14609103768,73.045519,977716777,4.888584,10083716386,50.418582,26234660466,131.173302,
books_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,0.001000,11577719,0.057889,8801271,0.044006,2021801,0.010109,5997588133,29.987941,6019988924,30.099945,
books_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,0.010000,99776759,0.498884,133378468,0.666892,18693988,0.093470,6668222249,33.341111,6920071464,34.600357,
books_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,0.100000,970767715,4.853839,1301090373,6.505452,127918175,0.639591,9809915802,49.049579,12209692065,61.048460,
books_200M_uint64,200000000,pgm_hash_eps16_epsrec4,min_max_cutoff,1.000000,557185695,2.785928,14882953804,74.414769,1146107869,5.730539,16939255185,84.696276,33525502553,167.627513,
books_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,0.001000,10550611,0.052753,9369818,0.046849,1283818,0.006419,8329422977,41.647115,8350627224,41.753136,
books_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,0.010000,104378329,0.521892,110724295,0.553621,11587163,0.057936,12153299396,60.766497,12379989183,61.899946,
books_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,0.100000,1102111957,5.510560,1244943295,6.224716,93461095,0.467305,18034309370,90.171547,20474825717,102.374129,
books_200M_uint64,200000000,pgm_hash_eps16_epsrec0,min_max_cutoff,1.000000,600006173,3.000031,15023125219,75.115626,916814473,4.584072,38056141677,190.280708,54596087542,272.980438,
books_200M_uint64,200000000,pgm_hash_eps16_epsrec1,min_max_cutoff,0.001000,11290388,0.056452,8821259,0.044106,1312099,0.006560,6890849117,34.454246,6912272863,34.561364,
books_200M_uint64,200000000,pgm_hash_eps16_epsrec1,min_max_cutoff,0.010000,101616114,0.508081,111681953,0.558410,11225567,0.056128,7876468728,39.382344,8100992362,40.504962,
books_200M_uint64,200000000,pgm_hash_eps16_epsrec1,min_max_cutoff,0.100000,1112594582,5.562973,1304798501,6.523993,88442916,0.442215,10766199452,53.830997,13272035451,66.360177,
books_200M_uint64,200000000,pgm_hash_eps16_epsrec1,min_max_cutoff,1.000000,545933867,2.729669,14521653671,72.608268,970206319,4.851032,21345745906,106.728730,37383539763,186.917699,
books_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,0.001000,11566755,0.057834,9401367,0.047007,1322521,0.006613,4060498463,20.302492,4082789106,20.413946,
books_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,0.010000,100060874,0.500304,111382728,0.556914,8213763,0.041069,4504471980,22.522360,4724129345,23.620647,
books_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,0.100000,1024131485,5.120657,1308419637,6.542098,67336530,0.336683,6495300729,32.476504,8895188381,44.475942,
books_200M_uint64,200000000,pgm_hash_eps256_epsrec0,min_max_cutoff,1.000000,533613914,2.668070,14548510813,72.742554,687681561,3.438408,10021569731,50.107849,25791376019,128.956880,
books_200M_uint64,200000000,pgm_hash_eps256_epsrec1,min_max_cutoff,0.001000,11808528,0.059043,9415480,0.047077,1322803,0.006614,4840973892,24.204869,4863520703,24.317604,
books_200M_uint64,200000000,pgm_hash_eps256_epsrec1,min_max_cutoff,0.010000,90570647,0.452853,111483246,0.557416,10058203,0.050291,5242489683,26.212448,5454601779,27.273009,
books_200M_uint64,200000000,pgm_hash_eps256_epsrec1,min_max_cutoff,0.100000,1243304103,6.216521,1284861105,6.424306,70666752,0.353334,5533794224,27.668971,8132626184,40.663131,
books_200M_uint64,200000000,pgm_hash_eps256_epsrec1,min_max_cutoff,1.000000,576509917,2.882550,14698335231,73.491676,664125110,3.320626,8129523527,40.647618,24068493785,120.342469,
